 pose_Rx, pose_Ry
-0.069,-0.236
-0.063,-0.251
-0.068,-0.247
-0.061,-0.238
-0.065,-0.231
-0.066,-0.247
-0.071,-0.248
-0.075,-0.246
-0.081,-0.25
-0.075,-0.247
-0.076,-0.252
-0.079,-0.265
-0.08,-0.254
-0.086,-0.26
-0.075,-0.274
-0.082,-0.269
-0.077,-0.264
-0.091,-0.277
-0.072,-0.244
-0.081,-0.268
-0.086,-0.269
-0.085,-0.27
-0.093,-0.262
-0.1,-0.27
-0.11,-0.269
-0.102,-0.269
-0.102,-0.281
-0.083,-0.258
-0.1,-0.259
-0.093,-0.271
-0.099,-0.264
-0.096,-0.264
-0.092,-0.266
-0.092,-0.261
-0.108,-0.258
-0.104,-0.291
-0.076,-0.28
-0.063,-0.277
-0.069,-0.276
-0.09,-0.277
-0.069,-0.272
-0.075,-0.281
-0.084,-0.285
-0.076,-0.284
-0.078,-0.286
-0.074,-0.283
-0.083,-0.297
-0.071,-0.266
-0.088,-0.265
-0.105,-0.279
-0.076,-0.259
-0.109,-0.269
-0.104,-0.282
-0.093,-0.273
-0.092,-0.272
-0.102,-0.28
-0.083,-0.272
-0.098,-0.279
-0.084,-0.251
-0.095,-0.256
-0.102,-0.258
-0.129,-0.231
-0.134,-0.275
-0.106,-0.283
-0.089,-0.296
-0.08,-0.285
-0.082,-0.291
-0.089,-0.268
-0.106,-0.294
-0.097,-0.311
-0.088,-0.318
-0.088,-0.298
-0.085,-0.299
-0.079,-0.303
-0.079,-0.308
-0.08,-0.269
-0.098,-0.286
-0.075,-0.287
-0.087,-0.278
-0.075,-0.271
-0.083,-0.298
-0.084,-0.298
-0.086,-0.296
-0.083,-0.291
-0.071,-0.293
-0.073,-0.289
-0.069,-0.307
-0.074,-0.295
-0.075,-0.291
-0.071,-0.296
-0.075,-0.299
-0.074,-0.302
-0.072,-0.283
-0.078,-0.284
-0.084,-0.255
-0.09,-0.277
-0.104,-0.276
-0.115,-0.232
-0.139,-0.185
-0.169,-0.131
-0.195,-0.084
-0.211,-0.033
-0.234,-0.003
-0.252,0.035
-0.256,0.063
-0.268,0.08
-0.269,0.09
-0.271,0.092
-0.269,0.088
-0.27,0.092
-0.268,0.088
-0.256,0.087
-0.255,0.097
-0.249,0.113
-0.223,0.103
-0.213,0.079
-0.229,0.089
-0.214,0.1
-0.215,0.103
-0.23,0.094
-0.23,0.101
-0.238,0.103
-0.238,0.108
-0.242,0.106
-0.247,0.112
-0.254,0.116
-0.253,0.114
-0.247,0.104
-0.242,0.106
-0.243,0.102
-0.242,0.104
-0.236,0.108
-0.234,0.108
-0.232,0.107
-0.222,0.109
-0.225,0.106
-0.227,0.117
-0.21,0.09
-0.216,0.096
-0.214,0.089
-0.213,0.091
-0.218,0.085
-0.214,0.079
-0.22,0.084
-0.229,0.082
-0.231,0.08
-0.224,0.082
-0.214,0.086
-0.21,0.093
-0.206,0.096
-0.202,0.096
-0.197,0.098
-0.204,0.093
-0.206,0.088
-0.208,0.087
-0.221,0.081
-0.218,0.078
-0.22,0.08
-0.216,0.073
-0.212,0.072
-0.203,0.078
-0.196,0.081
-0.192,0.085
-0.189,0.081
-0.193,0.086
-0.196,0.085
-0.192,0.086
-0.193,0.094
-0.193,0.096
-0.201,0.092
-0.195,0.085
-0.192,0.081
-0.194,0.085
-0.186,0.083
-0.188,0.083
-0.179,0.087
-0.178,0.082
-0.179,0.081
-0.174,0.083
-0.17,0.079
-0.171,0.078
-0.177,0.079
-0.176,0.081
-0.176,0.079
-0.169,0.084
-0.172,0.079
-0.175,0.08
-0.169,0.081
-0.173,0.078
-0.177,0.076
-0.183,0.074
-0.181,0.075
-0.177,0.076
-0.168,0.075
-0.165,0.076
-0.167,0.075
-0.165,0.08
-0.16,0.078
-0.163,0.077
-0.163,0.075
-0.157,0.077
-0.161,0.077
-0.163,0.077
-0.163,0.073
-0.167,0.073
-0.166,0.072
-0.168,0.071
-0.164,0.069
-0.166,0.071
-0.159,0.072
-0.15,0.076
-0.156,0.075
-0.156,0.079
-0.159,0.078
-0.161,0.074
-0.164,0.071
-0.158,0.074
-0.155,0.075
-0.162,0.072
-0.161,0.071
-0.163,0.073
-0.162,0.075
-0.165,0.073
-0.169,0.077
-0.165,0.078
-0.162,0.076
-0.16,0.076
-0.162,0.07
-0.156,0.074
-0.157,0.074
-0.157,0.077
-0.155,0.078
-0.154,0.074
-0.155,0.073
-0.152,0.079
-0.151,0.075
-0.149,0.077
-0.151,0.079
-0.152,0.081
-0.148,0.088
-0.15,0.085
-0.155,0.081
-0.157,0.079
-0.154,0.078
-0.155,0.077
-0.156,0.08
-0.157,0.073
-0.167,0.068
-0.172,0.067
-0.174,0.066
-0.168,0.071
-0.17,0.067
-0.166,0.071
-0.163,0.071
-0.163,0.074
-0.171,0.073
-0.166,0.07
-0.167,0.074
-0.164,0.074
-0.162,0.071
-0.166,0.068
-0.165,0.075
-0.157,0.075
-0.161,0.072
-0.157,0.076
-0.157,0.074
-0.156,0.077
-0.158,0.073
-0.157,0.076
-0.16,0.073
-0.154,0.074
-0.159,0.071
-0.16,0.071
-0.158,0.068
-0.15,0.071
-0.15,0.075
-0.151,0.076
-0.148,0.076
-0.15,0.074
-0.147,0.081
